metric,method_a,method_b,mean_diff_a_minus_b,statistic,p_value,p_holm
auc,ig,random,-0.19405810480651212,7253.0,8.248219225535285e-85,8.248219225535284e-84
auc,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,random,-0.19117952431225066,8096.0,3.927329736067274e-83,3.5345967624605464e-82
auc,hybrid_fixed__norm=minmax__alpha=0.60,random,-0.1882971654531598,8759.0,7.972879015303656e-82,6.378303212242925e-81
auc,attention,random,-0.1436907795062614,20532.0,2.3056178211710695e-60,1.6139324748197487e-59
auc,attention,ig,0.050367325300250704,55629.0,4.4178959754732623e-16,2.6507375852839574e-15
auc,attention,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.047488744805989226,55914.0,1.7480593034244152e-15,8.740296517122076e-15
auc,attention,hybrid_fixed__norm=minmax__alpha=0.60,0.04460638594689835,56789.0,9.116420942040883e-15,3.646568376816353e-14
auc,ig,hybrid_fixed__norm=minmax__alpha=0.60,-0.00576093935335235,45975.0,0.008985883237818829,0.02695764971345649
auc,hybrid_fixed__norm=minmax__alpha=0.60,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.002882358859090877,15277.0,0.01468836169135877,0.02937672338271754
auc,ig,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,-0.0028785804942614733,46107.0,0.22421802037609495,0.22421802037609495
comprehensiveness,ig,random,0.4060178367630836,10981.0,1.6096873261208964e-77,1.6096873261208965e-76
comprehensiveness,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,random,0.39157666388154866,13026.0,1.1593684373110328e-73,1.0434315935799296e-72
comprehensiveness,hybrid_fixed__norm=minmax__alpha=0.60,random,0.38161604990137493,14223.0,1.8860798234882045e-71,1.5088638587905636e-70
comprehensiveness,attention,random,0.3439909975970609,17676.0,2.897496074055715e-65,2.0282472518390002e-64
comprehensiveness,attention,ig,-0.06202683916602266,49070.0,4.687473278613684e-06,2.8124839671682103e-05
comprehensiveness,attention,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,-0.04758566628448776,39526.0,0.0003462072112049195,0.0017310360560245975
comprehensiveness,ig,hybrid_fixed__norm=minmax__alpha=0.60,0.024401786861708602,7847.0,0.0010219238654407931,0.0040876954617631725
comprehensiveness,ig,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.014441172881534901,4965.0,0.0044177265856913716,0.013253179757074116
comprehensiveness,attention,hybrid_fixed__norm=minmax__alpha=0.60,-0.03762505230431406,39344.0,0.005366737133039357,0.013253179757074116
comprehensiveness,hybrid_fixed__norm=minmax__alpha=0.60,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,-0.0099606139801737,817.0,0.09498346428648784,0.09498346428648784
sufficiency,ig,random,-0.47262791097152773,8734.0,7.120385612761947e-82,7.120385612761947e-81
sufficiency,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,random,-0.463901756616528,9987.0,1.974758838045387e-79,1.7772829542408482e-78
sufficiency,hybrid_fixed__norm=minmax__alpha=0.60,random,-0.4570242644160554,10379.0,1.1273775530745097e-78,9.019020424596078e-78
sufficiency,attention,random,-0.31407946474432863,28566.0,1.2588584398869988e-47,8.812009079208991e-47
sufficiency,attention,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.1498222918721994,22156.0,1.2392520214466559e-23,7.435512128679935e-23
sufficiency,attention,hybrid_fixed__norm=minmax__alpha=0.60,0.14294479967172682,21157.0,9.903042453640643e-23,4.9515212268203215e-22
sufficiency,attention,ig,0.15854844622719913,32189.0,2.7782449337352296e-22,1.1112979734940918e-21
sufficiency,ig,hybrid_fixed__norm=minmax__alpha=0.60,-0.015603646555472323,8210.0,0.007830129004906119,0.023490387014718356
sufficiency,hybrid_fixed__norm=minmax__alpha=0.60,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.006877492200472565,674.5,0.00929745819046877,0.023490387014718356
sufficiency,ig,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,-0.008726154354999759,5713.5,0.2158265600132082,0.2158265600132082
