run_seed,method,mean_auc
1000,attention,0.3035165056914396
1000,ig,0.25567814828778196
1000,hybrid_fixed__norm=minmax__alpha=0.60,0.26103562042698913
1000,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.25764534437447906
1000,random,0.4454008097848085
1001,attention,0.30421509058235696
1001,ig,0.2527476795808863
1001,hybrid_fixed__norm=minmax__alpha=0.60,0.2586470208909654
1001,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.25479427304907903
1001,random,0.4540284045035883
1002,attention,0.31113557575227374
1002,ig,0.2617491320041685
1002,hybrid_fixed__norm=minmax__alpha=0.60,0.26591083122773546
1002,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.2643798430600033
1002,random,0.45269193681755454
1003,attention,0.3086245587354243
1003,ig,0.26250685803594614
1003,hybrid_fixed__norm=minmax__alpha=0.60,0.269168366898175
1003,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.266872441291796
1003,random,0.448414848776805
1004,attention,0.3075684799298277
1004,ig,0.25617838470902826
1004,hybrid_fixed__norm=minmax__alpha=0.60,0.26214658532145946
1004,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.26027907146165064
1004,random,0.4534842973915863
1005,attention,0.31100766768210647
1005,ig,0.2600438275991289
1005,hybrid_fixed__norm=minmax__alpha=0.60,0.2657423623333603
1005,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.2630963527586534
1005,random,0.45692051617594276
1006,attention,0.3129383672364306
1006,ig,0.2554986815423743
1006,hybrid_fixed__norm=minmax__alpha=0.60,0.26389984220234053
1006,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.2595208169691051
1006,random,0.4524758999566082
