topk_frac,method,comp_mean,suff_mean
0.05,attention,0.5108003553400825,0.6684517033914058
0.05,ig,0.5734276683642356,0.6392138042836666
0.05,hybrid_fixed__norm=minmax__alpha=0.60,0.5732395022157022,0.6658031267629322
0.05,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.5716497442540616,0.6671511324486546
0.05,random,0.09931304988855189,0.7557402229785127
0.1,attention,0.551787964702967,0.5406183897327791
0.1,ig,0.5964815600829325,0.44692362738959673
0.1,hybrid_fixed__norm=minmax__alpha=0.60,0.590745379547409,0.47090264762926304
0.1,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.5920264891547516,0.46694462147289034
0.1,random,0.14860816257197423,0.7283492269332676
0.15,attention,0.5977436603346533,0.43130604465955763
0.15,ig,0.6294817709090329,0.2865684950390255
0.15,hybrid_fixed__norm=minmax__alpha=0.60,0.6187308709467443,0.31771089410176917
0.15,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.6182810261973868,0.30620656625950193
0.15,random,0.19891232168989237,0.7029840235003229
0.2,attention,0.5954675228531275,0.36741633589946027
0.2,ig,0.6574943620191502,0.20886788967226114
0.2,hybrid_fixed__norm=minmax__alpha=0.60,0.6330925751574417,0.22447153622773347
0.2,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.6430531891376154,0.2175940440272609
0.2,random,0.2514765252560667,0.6814958006437888
0.3,attention,0.6012910345201367,0.24705367431287623
0.3,ig,0.6947214355919981,0.10822392203436114
0.3,hybrid_fixed__norm=minmax__alpha=0.60,0.6809017349803458,0.12610868959029026
0.3,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.6884700121688968,0.11707696483214022
0.3,random,0.3584506382769135,0.6152682608766967
